Date,Open,High,Low,Close
08/29/2024,"4,915.49","4,966.27","4,913.49","4,966.27"
08/28/2024,"4,904.76","4,932.76","4,904.76","4,913.03"
08/27/2024,"4,897.27","4,916.68","4,892.51","4,898.78"
08/26/2024,"4,907.04","4,911.02","4,892.19","4,896.69"
08/23/2024,"4,890.34","4,918.85","4,887.70","4,909.20"
08/22/2024,"4,885.74","4,911.43","4,883.98","4,885.00"
08/21/2024,"4,856.23","4,889.72","4,856.23","4,885.28"
08/20/2024,"4,878.22","4,897.43","4,855.90","4,857.58"
08/19/2024,"4,838.02","4,879.30","4,835.58","4,871.41"
08/16/2024,"4,813.72","4,850.74","4,813.72","4,840.52"
08/15/2024,"4,736.84","4,809.88","4,727.63","4,807.77"
08/14/2024,"4,710.18","4,728.68","4,706.76","4,727.60"
08/13/2024,"4,680.21","4,697.96","4,659.23","4,694.92"
08/12/2024,"4,686.85","4,699.91","4,658.86","4,671.88"
08/09/2024,"4,678.44","4,703.22","4,646.71","4,675.28"
08/08/2024,"4,661.82","4,673.66","4,606.70","4,668.74"
08/07/2024,"4,592.87","4,683.72","4,591.59","4,668.06"
08/06/2024,"4,580.12","4,607.82","4,538.20","4,575.22"
08/05/2024,"4,605.72","4,605.72","4,473.94","4,571.60"
08/02/2024,"4,752.10","4,752.10","4,627.27","4,638.70"
08/01/2024,"4,867.09","4,867.09","4,759.68","4,765.72"
07/31/2024,"4,852.18","4,907.39","4,852.18","4,872.94"
07/30/2024,"4,830.52","4,861.85","4,829.92","4,841.00"
07/29/2024,"4,873.84","4,886.60","4,810.81","4,815.39"
07/26/2024,"4,810.87","4,867.88","4,810.20","4,862.50"
07/25/2024,"4,832.68","4,832.68","4,767.15","4,811.28"
07/24/2024,"4,892.66","4,892.66","4,847.39","4,861.87"
07/23/2024,"4,906.89","4,949.27","4,896.33","4,916.80"
07/22/2024,"4,833.17","4,911.43","4,833.17","4,897.44"
07/19/2024,"4,868.97","4,868.97","4,822.55","4,827.24"
07/18/2024,"4,902.41","4,923.86","4,870.12","4,870.12"
07/17/2024,"4,939.44","4,939.44","4,877.15","4,891.46"
07/16/2024,"4,968.21","4,968.21","4,939.17","4,947.83"
07/15/2024,"5,029.28","5,038.30","4,982.42","4,983.11"
07/12/2024,"4,980.96","5,051.59","4,980.96","5,043.02"
07/11/2024,"4,970.32","5,005.70","4,964.12","4,976.13"
07/10/2024,"4,909.14","4,960.99","4,896.85","4,958.86"
07/09/2024,"4,960.15","4,960.55","4,894.76","4,903.62"
07/08/2024,"4,976.53","5,029.25","4,965.24","4,969.83"
07/05/2024,"4,993.99","5,019.65","4,960.51","4,979.39"
07/04/2024,"4,972.67","4,993.66","4,972.67","4,987.48"
07/03/2024,"4,922.03","4,977.57","4,922.03","4,965.80"
07/02/2024,"4,918.21","4,918.21","4,869.48","4,906.33"
07/01/2024,"4,924.08","4,981.31","4,923.32","4,929.99"
06/28/2024,"4,909.30","4,922.84","4,880.98","4,894.02"
