"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2020","3,572.51","3,655.84","3,668.70","3,568.48","62.81M","-2.07%"
"02/24/2020","3,647.98","3,762.35","3,762.35","3,632.29","80.00M","-4.01%"
"02/21/2020","3,800.38","3,816.51","3,827.36","3,776.82","48.44M","-0.59%"
"02/20/2020","3,822.98","3,867.28","3,867.28","3,822.98","41.28M","-1.09%"
"02/19/2020","3,865.18","3,846.39","3,865.43","3,846.39","40.37M","0.75%"
"02/18/2020","3,836.54","3,848.56","3,848.56","3,826.23","53.06M","-0.43%"
"02/17/2020","3,853.27","3,843.10","3,854.30","3,841.06","24.26M","0.32%"
"02/14/2020","3,840.97","3,847.93","3,851.42","3,835.79","29.90M","-0.15%"
"02/13/2020","3,846.74","3,849.10","3,849.10","3,799.98","38.74M","-0.20%"
"02/12/2020","3,854.43","3,829.66","3,854.43","3,829.66","42.24M","0.75%"
"02/11/2020","3,825.84","3,804.46","3,832.06","3,804.46","38.62M","0.86%"
"02/10/2020","3,793.18","3,794.18","3,794.18","3,779.10","28.46M","-0.14%"
"02/07/2020","3,798.49","3,804.86","3,806.06","3,782.21","39.16M","-0.18%"
"02/06/2020","3,805.52","3,791.07","3,808.74","3,790.54","52.51M","0.73%"
"02/05/2020","3,777.84","3,727.22","3,782.85","3,717.72","56.85M","1.22%"
"02/04/2020","3,732.28","3,670.98","3,732.28","3,670.98","45.38M","1.94%"
"02/03/2020","3,661.27","3,646.86","3,673.28","3,641.84","32.50M","0.56%"
"01/31/2020","3,640.91","3,697.67","3,705.33","3,639.44","49.70M","-1.35%"
"01/30/2020","3,690.78","3,717.93","3,717.93","3,676.66","42.46M","-1.22%"
"01/29/2020","3,736.36","3,717.64","3,743.26","3,715.74","36.47M","0.46%"
"01/28/2020","3,719.22","3,684.69","3,722.71","3,671.74","37.48M","1.13%"
"01/27/2020","3,677.84","3,754.63","3,754.63","3,673.80","44.84M","-2.68%"
"01/24/2020","3,779.16","3,744.75","3,795.33","3,744.75","31.73M","1.13%"
"01/23/2020","3,736.85","3,764.10","3,770.01","3,734.06","33.33M","-0.87%"
"01/22/2020","3,769.79","3,792.05","3,802.68","3,765.49","32.48M","-0.51%"
"01/21/2020","3,789.12","3,786.26","3,789.12","3,760.36","27.59M","-0.26%"
"01/20/2020","3,799.03","3,804.74","3,805.61","3,791.51","20.83M","-0.24%"
"01/17/2020","3,808.26","3,780.54","3,813.80","3,780.54","33.00M","0.90%"
"01/16/2020","3,774.14","3,770.96","3,785.67","3,758.55","17.58M","0.14%"
"01/15/2020","3,768.96","3,774.93","3,778.94","3,755.30","33.41M","-0.16%"
"01/14/2020","3,774.88","3,779.35","3,783.76","3,745.47","33.07M","-0.13%"
"01/13/2020","3,779.68","3,789.87","3,798.58","3,768.45","27.51M","-0.26%"
"01/10/2020","3,789.52","3,801.12","3,803.91","3,786.93","27.40M","-0.17%"
"01/09/2020","3,795.88","3,782.77","3,807.09","3,782.77","33.48M","0.62%"
"01/08/2020","3,772.56","3,752.87","3,775.43","3,732.90","34.99M","0.35%"
"01/07/2020","3,759.25","3,760.09","3,784.42","3,748.13","29.85M","0.18%"
"01/06/2020","3,752.52","3,764.34","3,764.34","3,710.94","28.34M","-0.55%"
"01/03/2020","3,773.37","3,787.57","3,787.57","3,745.54","30.34M","-0.52%"
"01/02/2020","3,793.24","3,754.24","3,801.13","3,754.24","29.92M","1.28%"
"12/31/2019","3,745.15","3,746.61","3,749.10","3,738.45","22.07M","-0.09%"
